책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
진짜 쓰는 실무 엑셀,176892.0,9.8,18900.0,52.0,508.0,958.0,188*245*20mm,IT 모바일,2022-02-15,https://www.yes24.com//Product/Goods/106711883
Go Go 카카오프렌즈 28 태국,68391.0,10.0,13320.0,13.0,168.0,468.0,188*257*10mm,어린이,2023-05-17,https://www.yes24.com//Product/Goods/118919326
2023 제14회 젊은작가상 수상작품집,75513.0,9.3,6930.0,22.0,364.0,346.0,130*205*30mm,소설/시/희곡,2023-04-05,https://www.yes24.com//Product/Goods/118285980
지박소년 하나코 군 19 더블특장판 ,41124.0,9.5,5400.0,2.0,178.0,178.0,128*182*20mm,만화/라이트노벨,2023-06-30,https://www.yes24.com//Product/Goods/119273079
타키 포오 코믹 어드벤처 2,45657.0,10.0,11700.0,1.0,176.0,,150*210*20mm,어린이,2023-05-23,https://www.yes24.com//Product/Goods/119105311
데일 카네기 자기관리론,226575.0,9.7,10350.0,151.0,424.0,542.0,150*225*30mm,자기계발,2021-01-13,https://www.yes24.com//Product/Goods/96794060
동아 연세 초등 국어사전,84747.0,9.8,32400.0,65.0,1496.0,1945.0,145*203*80mm,국어 외국어 사전,2020-01-10,https://www.yes24.com//Product/Goods/89465538
지적 대화를 위한 넓고 얕은 지식 1,164076.0,9.6,14400.0,101.0,388.0,554.0,152*210*30mm,인문,2020-02-01,https://www.yes24.com//Product/Goods/86545658
칩 워 ,42057.0,10.0,25200.0,2.0,656.0,882.0,147*219*32mm,경제 경영,2023-05-19,https://www.yes24.com//Product/Goods/118614823
매일매일 행복해,52452.0,9.8,12600.0,32.0,56.0,232.0,157*197*10mm,유아,2022-08-20,https://www.yes24.com//Product/Goods/112017329
리얼리티 트랜서핑 2,40794.0,9.5,9900.0,19.0,272.0,354.0,153*224*20mm,자기계발,2009-03-20,https://www.yes24.com//Product/Goods/3334740
레버리지,79866.0,9.6,16200.0,18.0,260.0,466.0,149*209*20mm,경제 경영,2023-02-15,https://www.yes24.com//Product/Goods/117389523
ETS 토익기출 파트별 VOCA 보카,83412.0,9.6,11700.0,12.0,588.0,782.0,148*210*24mm,국어 외국어 사전,2022-12-23,https://www.yes24.com//Product/Goods/116467955
백년허리2 치료편,182874.0,9.4,16650.0,33.0,484.0,405.0,175*220*15mm,건강 취미,2021-05-13,https://www.yes24.com//Product/Goods/101624325
오싹오싹 편의점,37809.0,10.0,12600.0,15.0,44.0,398.0,220*275*10mm,유아,2023-05-22,https://www.yes24.com//Product/Goods/118797832
"베르베르 씨, 오늘은 뭘 쓰세요?",26388.0,9.8,16920.0,5.0,480.0,536.0,120*210*30mm,에세이,2023-05-30,https://www.yes24.com//Product/Goods/119105431
백년운동,145236.0,9.6,17550.0,65.0,484.0,774.0,175*220*30mm,건강 취미,2019-11-11,https://www.yes24.com//Product/Goods/82589741
아비투스,40953.0,6.0,19800.0,1.0,372.0,724.0,152*215*25mm,인문,2023-03-24,https://www.yes24.com//Product/Goods/118146744
주식투자 최적의 타이밍을 잡는 법,74340.0,9.3,19800.0,18.0,436.0,744.0,153*224*30mm,경제 경영,2020-12-07,https://www.yes24.com//Product/Goods/95873899
그릿 (50만 부 판매 기념 리커버 골드에디션),304737.0,8.9,16200.0,104.0,416.0,609.0,152*225*20mm,자기계발,2019-02-20,https://www.yes24.com//Product/Goods/69622442
아기 판다 푸바오,36963.0,10.0,16200.0,8.0,136.0,556.0,190*297*17mm,에세이,2021-07-20,https://www.yes24.com//Product/Goods/102792626
